37,83,24,19,37,41,2,1,1,1,2,1,2,4,ËÎÆÜ,83,19,139,ÈÑÒÈÍÀ,ÈÑÒÈÍÀ,ËÎÆÜ
59,77,43,43,118,38,1,1,2,2,1,1,2,4,ËÎÆÜ,118,38,222,ÈÑÒÈÍÀ,ÈÑÒÈÍÀ,ËÎÆÜ
6,65,40,22,6,130,2,1,1,1,2,1,2,4,ËÎÆÜ,130,6,133,ÈÑÒÈÍÀ,ÈÑÒÈÍÀ,ËÎÆÜ
63,77,76,8,63,51,2,1,1,1,2,1,2,4,ËÎÆÜ,77,8,253,ÈÑÒÈÍÀ,ÈÑÒÈÍÀ,ËÎÆÜ
74,47,97,26,222,23,1,1,1,1,1,1,0,6,ËÎÆÜ,222,23,244,ÈÑÒÈÍÀ,ÈÑÒÈÍÀ,ËÎÆÜ
48,24,17,7,24,36,1,2,1,1,2,1,2,4,ËÎÆÜ,48,7,101,ÈÑÒÈÍÀ,ÈÑÒÈÍÀ,ËÎÆÜ
27,39,77,35,27,13,2,1,1,1,2,1,2,4,ËÎÆÜ,77,13,128,ÈÑÒÈÍÀ,ÈÑÒÈÍÀ,ËÎÆÜ
35,41,6,21,52,41,1,2,1,1,1,2,2,4,ËÎÆÜ,52,6,138,ÈÑÒÈÍÀ,ÈÑÒÈÍÀ,ËÎÆÜ
46,32,95,3,23,32,1,2,1,1,1,2,2,4,ËÎÆÜ,95,3,133,ÈÑÒÈÍÀ,ÈÑÒÈÍÀ,ËÎÆÜ
34,43,72,42,17,43,1,2,1,1,1,2,2,4,ËÎÆÜ,72,17,162,ÈÑÒÈÍÀ,ÈÑÒÈÍÀ,ËÎÆÜ
2,57,76,39,4,57,1,2,1,1,1,2,2,4,ËÎÆÜ,76,2,157,ËÎÆÜ,ÈÑÒÈÍÀ,ËÎÆÜ
61,90,53,26,61,135,2,1,1,1,2,1,2,4,ËÎÆÜ,135,26,265,ÈÑÒÈÍÀ,ÈÑÒÈÍÀ,ËÎÆÜ
